name,alternate_name,x-status,x-verification,Service Area,phones,url,description,services,email,locations,x-website rating,x-status_last_modified,id
Lydia Place  ,,Vetted,Lydia Place re-vet,Whatcom County,(360) 671-7663,http://www.lydiaplace.org,"A nonprofit, community-based agency serving individuals and families experiencing homelessness in Whatcom County. ","Lydia Place Housing for Households Without Children,Lydia Place Family Housing,DVSAS Partnership,Parents as Teachers ,CenteringPregnancy,Lydia Place Mental Health Program",,"Lydia Place Gladstone Office,Lydia Place Bell Tower Office",5,2022-9-9 10:51am,reccfpR97UVS5t550
Lynden Community / Senior Center ,,Vetted,"Lynden Community/Senior Center,LCSC re-vet",Whatcom County,​360-354-2921,http://www.lyndencommunitycenter.org/,"A nonprofit organization that seeks to provide a place for community members to experience great food, friendship, and fun.","Lynden Community / Senior Center,Meals - Lynden Community / Senior Center",info@lyndencommunitycenter.org,Lynden Community /  Senior Center,5,2022-10-26 5:49pm,recc9N8wvxcmSFEb5
Lynden School District,,Vetted,LSD re-vet,Whatcom County,,https://lynden.wednet.edu,"Public school district for Lynden, WA.","Lynden Family Community Services,McKinney-Vento Program - LSD,Child Find Screenings - LSD,Lynden Inclusive Preschool",,,4,2022-3-23 11:14am,recF2KxgaUqKwQwx2
Manpower Staffing Solutions,,Vetted,Manpower,Whatcom County,(360) 671-1977,https://www.manpowergroupusa.com/manpower/locations/bellingham,"Whether you're seeking staffing services as an employer or searching for a position, the Manpower Bellingham office can pair you with the tools and network you need.",Manpower Job Placement,,Manpower,4,2022-12-8 3:19pm,recTuDZRPjF87PcLu
Max Higbee Center,,Vetted,"Max Higbee Center,MHC re-vet",Whatcom County,(360) 746-7181,http://www.maxhigbee.org/,"Supports and empowers teens and adults with developmental disabilities 
to build community, friendships, happiness, life skills and health through recreation.","Max Higbee Weekday Program,Max Higbee Weekend Program,Higbee Hikers,Max Higbee Virtual Programs,Recreation Mentor Project,Community Engagement Service","admin@maxhigbeecenter.org
",Max Higbee Center,5,2022-9-19 1:45pm,rec2bDOEa8kwKahM2
Meals on Wheels and More,,Vetted,"Meals on Wheels,Meals on Wheels re-vet",Whatcom County,(360) 746-6480,https://whatcomcoa.org/meals-on-wheels-and-more/,"Supports the health and independence of the older adult populations of Whatcom and San Juan Counties by providing nutritious food, social connection, and nutrition education.",Meals on Wheels,,Bellingham Senior Activity Center,5,2022-10-28 11:17am,recpJ4qY5QbJ8TSx8
Mending Babyloss ,,Vetted,"Mending Babyloss,Mending Babyloss re-vet",Whatcom County,(360) 201-8734,mendingbabyloss.org/,A non-denominational support group for grieving parents in Whatcom County.,"Mending Babyloss Support Group,Mending Babyloss Remembrance Ceremony ,Online Resource Directory for Pregnancy and Infant Loss",mendingbabyloss@gmail.com,Mending Babyloss,4,2022-9-22 12:27pm,recCVAMk0QaUgl7n1
Meridian School District,,Vetted,MSD re-vet,Whatcom County,,https://www.meridian.wednet.edu,Public school district for the Meridian region of Whatcom County.,"Meridian Family Support Center,Meridian Transitional Kindergarten,Developmental Preschool - MSD",,,4,2022-3-23 11:20am,recK0ggj1uDRbazF3
Miracle Food Network,,Vetted,"Miracle Food Network,MFN re-vet",Whatcom County,(360) 685-1013,www.miraclefoodnetwork.org/,Community-based food distributor with locations throughout Whatcom County. Food pick-up days/times vary by location. Schedule and phone numbers for each location are listed online.,Miracle Food Network,admin@miraclefoodnetwork.org,,3,2022-11-3 1:58pm,recKWHoz0vQ5kTc9v
Mount Baker Planned Parenthood ,,Vetted,"Planned Parenthood,Planned Parenthood re-vet",Whatcom County,(360) 734-9095,https://www.plannedparenthood.org/planned-parenthood-mt-baker,"A non-profit family planning organization providing reproductive health care services and sexuality education, and protecting the right to choose. Many patients qualify for free services, and help enrolling in health insurance is available.  ",Bellingham Health Center - Planned Parenthood,,Bellingham Health Center - Planned Parenthood,5,2022-11-2 5:18pm,reczsxvPTZ5waWazu
Mount Baker School District,,Vetted,MBSD re-vet,Whatcom County,,https://www.mtbaker.wednet.edu,Public school district for Eastern Whatcom County.,"Mt. Baker Family Services,Mt. Baker Educational Resource Center,McKinney-Vento Program - MBSD,Child Find Screenings - MBSD",,,5,2022-3-23 11:30am,recv4Nk8G8hi7yLgS
NAMI of Whatcom County , National Alliance on Mental Illness of Whatcom County,Vetted,"NAMI of Whatcom County,NAMI re-vet",Whatcom County,(360) 671-4950,www.namiwhatcom.org,"Free support groups and education classes offered to all those affected by mental illness including family members and friends.  
 ","NAMI Family-to-Family Class,NAMI Peer-to-Peer Class,NAMI Basics Class,NAMI Family and Friends Class,NAMI Connection Recovery Support Group,NAMI Family Support Group,NAMI Grupo de Apoyo para Familiares",namiadmin@namiwhatcom.org,NAMI of Whatcom County,4,2022-9-28 4:34pm,recfPcfixvgRYPbpO
Narcotics Anonymous (NA),NA,Vetted,NA,Whatcom County,(360) 647-3234,https://nwscna.org/,"A non-profit fellowship of people who suffer from the disease of addiction. Groups meet on a regular basis to help each other stay clean and share experience, strength, and hope. ",Narcotics Anonymous (NA),,,5,2022-12-8 4:08pm,recjGLgeAp9BxeMJD
New Way Ministries ,,Vetted,"New Way,New Way re-vet",Whatcom County,(360) 354-9930,https://www.newway-ministries.org,"A faith-based transitional living facility for homeless women and children who may be struggling from addiction, domestic violence, human trafficking, or a crisis pregnancy.","New Way Home Program,New Way Next Steps Program",,New Way Ministries,5,2022-10-6 12:59pm,recauCZgjYQoMN3Sf
Nooksack Food Bank ,,Vetted,Nooksack Food Bank re-vet,Whatcom County,(360) 592-0135,,Provides food to anyone in need on the first Friday of each month. Located behind the Social Services building.,Nooksack Food Bank,,Nooksack Food Bank,3,2022-3-23 11:58am,rec1iIEBZ5TSZl32s
Nooksack Indian Tribe ,,Vetted,"Nooksack Indian Tribe,Nooksack Indian Health Department,Nooksack re-vet",Whatcom County,(360) 592-5176,https://nooksacktribe.org,Tribal government comprised of various departments that work to improve the quality of life of Nooksack Tribal members. ,"Nooksack Indian Health Department,Nooksack WIC Program,Nooksack Genesis II Chemical Dependency Program,Nooksack Behavioral Health,Nooksack Tribal Clinic,Nooksack Tribal Dental Clinic,Nooksack House of Children Head Start,Nooksack Education Department,Nooksack Housing Department,Nooksack Tribal Veterans Program,Nooksack Youth and Family Services Department,Tl’ils Ta’á’altha Victims of Crime Program",,Nooksack Indian Tribe,5,2022-10-6 1:54pm,recw4wzwMITMoeqLP
Nooksack Valley Food Bank ,,Vetted,NV Food Bank re-vet,Whatcom County,,https://www.facebook.com/NooksackValleyFoodBank/,"Provides produce, canned goods, breads, meat, and dairy items. No ID or proof of address required. Income guidelines are currently 400% of Federal Poverty Level.",Nooksack Valley Food Bank,nooksackvalleyfoodbank@gmail.com,"Nooksack Valley Food Bank Everson,Nooksack Valley Food Bank Sumas",3,2022-3-23 11:46am,recZgVJhgQYWqEhY0
Nooksack Valley School District,,Vetted,NVSD re-vet,Whatcom County,,https://www.nv.k12.wa.us,"Public school district for Everson, Nooksack, and Sumas, WA.","Nooksack Valley Early Childhood Program,McKinney-Vento Program - NVSD,Child Find Screenings - NVSD,Tuition Preschool - NVSD",,,,2022-3-23 11:35am,recdooJJUUy5BOuLG
Northwest Behavioral ,,Vetted,"NW Behavioral,NW Behavioral re-vet",Whatcom County,(360) 392-2838,http://www.nwbehavioral.org/,"Provides counseling services for individuals, couples, and families. Case management services available for qualified Group Health clients in their homes or care facilities. ",Northwest Behavioral,nbehavorial@hotmail.com,Northwest Behavioral,4,2022-10-26 9:08am,recSdrrVKZNG2zU3e
Northwest Justice Project ,NJP,Vetted,"Northwest Justice Project,NJP re-vet",Whatcom County,"1-888-201-1014,(360) 734-8680",http://www.nwjustice.org/,"Provides free legal assistance to address fundamental human needs such as housing, family safety, income security, health care, education, and more. ","Eviction Help - NJP,Legal Help - NJP,Washington Law Help,Washington Forms Online,CLEAR Hotline,CLEAR*Sr",,Northwest Justice Project,5,2022-10-6 2:28pm,recX4BjXeBvMTyt2b
Northwest Regional Council,NWRC,Vetted,Northwest Regional Council,Whatcom County,"1-800-585-6749,(360) 676-6749",http://www.nwrcwa.org/,"An association of county governments serving the people of Island, San Juan, Skagit, and Whatcom Counties with a focus on delivering coordinated support for seniors, people with disabilities, and people with complex medical conditions.","Aging and Disability Resources - NWRC,Behavioral Health Counseling - NWRC,Care Coordination - NWRC,Dementia Support Program - NWRC,Family Caregiver Support Program - NWRC,In-Home Care - NWRC,Jail Health - NWRC,Non-Emergency Medical Transportation - NWRC,Tribal Outreach Program - NWRC",,Northwest Regional Council,5,2022-11-23 1:53pm,rece0aRej6poWOhsO
Northwest Therapeutic Riding Center,,Vetted,"Northwest Therapeutic Riding Center ,NWTRC re-vet",Whatcom County,(360) 966-2124,www.nwtrc.org,"Provides high quality, safe and fun adaptive horsemanship and riding lessons. Participants range in age from 4-74 and include individuals with physical, cognitive, emotional, behavioral and sensory disabilities. ",Adaptive Horsemanship and Riding Lessons,nwtrc@premier1.net ,Northwest Therapeutic Riding Center,4,2022-9-20 3:18pm,rec1FfYg3cqbowgNu
Northwest Youth Services ,NWYS,Vetted,"Northwest Youth Services ,NWYS re-vet",Whatcom County,(360) 734-9862,www.nwys.org,"Radical innovative services and care models that go beyond physical well-being to build social capital in partnership with young people, 13 to 24-year-olds experiencing homelessness or unstable housing.","The PAD,HUSLY Temporary Shelter,NWYS Transitional Living Program,NWYS Rapid Rehousing,The Ground Floor,NWYS Rental Assistance ,NWYS Employment and Education Support,Teen Court",hello@nwys.org,"The Ground Floor,Northwest Youth Services - Bellingham Services Office,Northwest Youth Services - Administrative Offices",5,2022-9-20 3:49pm,recTVb0eSkBjzN2Gk
Opportunity Council,,Vetted,"Opportunity Council,OC re-vet",Whatcom County,(360) 734-5121,https://www.oppco.org,"A private, non-profit Community Action Agency serving homeless and low-income families and individuals. Helps people improve their lives through education, support, and direct assistance while advocating for just and equitable communities.","Early Head Start,Head Start,Child Care Aware of NW Washington,Single Entry Access to Services,Early Support for Infants and Toddlers - Opportunity Council,Child Care Nutrition Program,Emergency Child Care Voucher,Kinship Care,Opportunity Council Community Resource Center,East Whatcom Regional Resource Center,Basic Food Outreach,Opportunity Council Homeless Housing Programs,Whatcom Homeless Service Center,Homeless Outreach Team,Rental Assistance - Opportunity Council,Basic Food Employment and Training Program - Opportunity Council,Foundational Community Support Employment Program ,Financial Literacy and Renters Education,On the Money,Energy Assistance - Opportunity Council,Weatherization Program,Weatherization Plus Health Program,Home Repair Loan,City of Bellingham Mobile Home Repair,Conservation Education,Supportive Services for Veteran Families,Whatcom Volunteer Center,Needs Based Ferry Passes,WTA Bus Passes - Opportunity Council,Maple Alley Inn,Basics for Babies,Laundry Love,Severe Weather Shelter Information Hotline,Whatcom SHIBA,WHSC Housing Navigator,Access ID Clinic - Opportunity Council",,"Opportunity Council Community Resource Center,Opportunity Council Early Learning and Family Services",5,2022-3-30 12:40pm,recUNg0RwRbIooYd7
Our Treehouse,,Vetted,"Our Treehouse,Our Treehouse re-vet",Whatcom County,(360) 223-6681,https://www.our-treehouse.org,"Serves as a loving, healing community for children, youth, and families to grieve. Through peer support groups, provision of school-based support, and referrals to other community resources.","Our Treehouse Young Adult Night,Our Treehouse Teen Night,Our Treehouse Family Night",info@our-treehouse.org,Our Treehouse,5,2022-9-27 3:10pm,recKdyh3wlpyZ2Jr9
Oxford House,,Vetted,"Oxford House,Oxford House re-vet",Whatcom County,,http://www.oxfordhouse.org/directory_listing.php?state=WA,Clean and sober housing.,"Oxford House View Ridge,Oxford House Journey,Oxford House Connelly",,"Oxford House Connelly,Oxford House Journey,Oxford House View Ridge",4,2022-11-3 3:56pm,recni6pwFtzFVUjeh
Parenting Academy,,Vetted,"Parenting Academy,Parenting Academy re-vet",Whatcom County,(360) 922-3600,https://parenting-academy.org/,"Parent skill-building programs available, including one-on-one coaching, groups, and parenting seminars for parents, grandparents, families and friends of children.","Coaching for Parents with Teens - Parenting Academy,Parenting Seminars - Parenting Academy,Parent-Child Interaction Therapy - Parenting Academy,Parent Coaching - Parenting Academy",contact@parenting-academy.org,Parenting Academy,5,2022-10-13 1:58pm,rectN4Q41q1ki302i
PeaceHealth,,Vetted,"PeaceHealth,PeaceHealth re-vet",Whatcom County,,https://www.peacehealth.org,"A not-for-profit healthcare system with medical centers, critical access hospitals and medical clinics located in Washington, Oregon and Alaska.","PeaceHealth Pediatrics,PeaceHealth Family Medicine,PeaceHealth Behavioral Health,PeaceHealth Immediate Primary and Urgent Care,PeaceHealth Nutrition Services,PeaceHealth Primary Care,Pregnancy and Childbirth Care at PeaceHealth,PeaceHealth Women's Health,PeaceHealth Emergency Medicine",,"St. Joseph Medical Center,PeaceHealth at Cordata Main",5,2022-5-10 6:20pm,recY5WnUBlbGxk6FE
PeopleReady,,Vetted,PeopleReady,Whatcom County,(360) 647-7642,https://www.peopleready.com/location/bellingham-wa-1109/,"Specializes in quick and reliable on-demand labor and highly skilled workers. Supports a wide range of blue-collar industries, including construction, manufacturing and logistics, waste and recycling, and hospitality.",PeopleReady Job Placement,1109-br@peopleready.com,PeopleReady,5,2022-12-8 3:03pm,recl5MoRJUsxLLXjz
PREPARES,,Vetted,PREPARES,Whatcom County,(206) 737-9264,https://preparesforlife.org/,"A response of the Catholic community in Washington state, open to all, to provide meaningful, local and sustainable support to mothers, fathers, and families as they nurture their children through pregnancy and early childhood. Volunteers at the PREPARES program offer support and activities for families from pregnancy to your child’s fifth birthday.","Pregnancy and Parenting Support - PREPARES,Basic Needs Program - PREPARES,Parent Support Groups - PREPARES,Play Groups - PREPARES,Family Companions Program - PREPARES",prepares@ccsww.org,"St. Peter's Catholic Church- Deming,St. Joseph's Catholic Church- Lynden,St. Joseph Catholic Church- Ferndale,Sacred Heart Catholic Church- Bellingham,Church of the Assumption- Bellingham",,2022-12-15 4:08pm,reckQ4uP9VVsJBJFI
Project Hope Lynden ,,Vetted,"Project Hope,Project Hope re-vet",Whatcom County,(360) 354-4673,https://www.projecthopelynden.org,"A food bank and Community Assistance Program that helps Lynden community members with short-term, emergency assistance.

","Project Hope Food Bank,Project Hope Community Assistance,Warm Home Fund",,Project Hope,5,2022-4-25 5:42pm,recVuVblhFDcJhkOb
Rebound of Whatcom County,,Vetted,"Rebound of Whatcom County ,Rebound re-vet",Whatcom County,(360) 207-1907,http://reboundfamilies.org/,"Provides services that meet the needs of children and families dealing with poverty, domestic violence, homelessness and abuse.","Roots Family Enrichment Program,Ray of Hope Summer Day Camp,Family Advocacy Support",info@reboundfamilies.org,Rebound of Whatcom County,4,2022-10-19 10:37am,rec4P3bWLzFWQv3ua
Salvation Army,,Vetted,Salvation Army re-vet,Whatcom County,(360) 733-1410,http://bellingham.salvationarmy.org,"Provides food boxes, holiday programs, and Puget Sound Energy Assistance with urgent and/or shut off notice.","Salvation Army Energy Assistance ,Salvation Army Food Bank,Salvation Army Christmas Assistance",,Salvation Army,3,2022-3-23 11:59am,recDRGaYYXbjEwXR4
Sea Mar Community Health Center,,Vetted,"Sea Mar,Sea Mar re-vet",Whatcom County,,https://www.seamar.org/index.html,"A community-based organization committed to providing quality, comprehensive health, human, educational and cultural services to diverse communities, specializing in service to Latinos in Washington state. 
","Sea Mar Bellingham Medical Clinic,Sea Mar Everson Medical Clinic,Sea Mar Bellingham Dental Clinic,Sea Mar Bellingham Behavioral Health Clinic,Sea Mar Bellingham Behavioral Health Child and Family Services,Sea Mar Health Education,Sea Mar Maternity Support Services,Sea Mar WIC and Nutrition Program,Sea Mar Healthcare for the Homeless Program,Sea Mar Migrant and Seasonal Farmworker Promotores Program",,"Sea Mar Bellingham Medical Clinic,Sea Mar Everson Medical Clinic,Sea Mar Bellingham Dental Clinic,Sea Mar Bellingham Behavioral Health Clinic,Sea Mar Bellingham Downtown,Sea Mar Ferndale",5,2022-3-31 4:31pm,recCmwGe8B4vXqhAz
Sean Humphrey House,,Vetted,"Sean Humphrey House,Sean Humphrey re-vet",Whatcom County,(360) 733-0176, http://www.seanhumphreyhouse.org,Provides care and community in a family-home setting for adults living with HIV.,Sean Humphrey House,,Sean Humphrey House,5,2022-11-3 5:16pm,recNdrqhtmgnp5iEA
Second WakeUp House and Redemption Place,,Vetted,"Second WakeUp House and Redemption Place,Second WakeUp re-vet",Whatcom County,(360) 739-9298,https://secondwakeup.com,Faith-based clean and sober housing for men.,"Second WakeUp House,Redemption Place",,Second WakeUp House and Redemption Place,5,2022-11-3 4:42pm,recSYJzKxewMpDmps
Sisu Children's Fund ,,Vetted,"Sisu Children's Fund,Sisu re-vet",Whatcom County,(360) 671-8766,sisuchildrensfund.org/,Grants for children and young adults with medical problems or physical disabilities to meet needs that are not covered by insurance. Also provides education scholarships to young adults with medical and/or physical disabilities. ,Sisu Children's Fund ,sisuchildrensfund@gmail.com,Sisu Children's Fund,4,2022-9-22 12:53pm,reckHuOpmMch5NoXF
Skookum Kids,,Vetted,"Skookum Kids,Skookum Kids re-vet",Whatcom County,(360) 353-4781,http://www.skookumkids.org,Provides support for foster kids and families in Whatcom County.,"Skookum Kids Respite,Foster Parent Services,Skookum Mentors",,Skookum Kids,4,2022-11-3 5:28pm,recOyRvNLXGQxJtx3
Social Security,,Vetted,Social Security,Whatcom County,1-800-772-1213,http://www.ssa.gov/,"Administers retirement, disability, survivor, and family benefits, and enrolls individuals in Medicare. Also provides Social Security Numbers, which are unique identifiers needed to work, handle financial transactions, and determine eligibility for certain government services.

","Social Security Retirement Benefits,Social Security Disability Insurance (SSDI),Supplemental Security Income (SSI),Social Security Survivors Benefits,Social Security Number and Card",,Social Security Office,5,2022-12-13 4:39pm,recrYAcuFntiwYeZm
Southside Community Meal,,Vetted,Southside Community Meal,Whatcom County,(360) 733-6749,https://www.oursavioursbham.org/southside-community-meal,"Everyone is invited to the free monthly community meal hosted at Our Savior Luther Church on the third Sunday of every month from 5:00 - 6:30 PM. 
There is no meal in December, as well as in June, July, and August.",Southside Community Meal,,Our Savior Lutheran Church,5,2022-12-8 5:18pm,recpxFpMHBNr9xxA7
Southside Food Bank,,Vetted,Southside Food Bank re-vet,Whatcom County,(360) 733-8400,https://www.hcbellingham.com/southside-food-bank/,Provides food to anyone in need. Open the first and third Thursday of each month.,Southside Food Bank,,Southside Food Bank,5,2022-3-23 12:00pm,rec0dVVStUep4zXvf
St. Paul’s Episcopal Church,,Vetted,"St. Paul's,St. Paul's re-vet",Whatcom County,(360) 733-2890 ext. 2,https://www.stpaulsbellingham.org,,St. Paul's Alms Ministry,,St. Paul's Episcopal Church,4,2022-10-12 12:13pm,reccexvgADUkNtP8r
St. Vincent de Paul Society,,Vetted,"St. Vincent de Paul,SVDP re-vet",Whatcom County,(360) 734-2722,http://tinyurl.com/bellingham-bill-assist,"Provides limited emergency financial assistance through vouchers for food, gas, and other basic needs.",St. Vincent de Paul Society,,Sacred Heart Church,4,2022-10-12 12:40pm,recmtcB1YH3d8hQaq
Stepping Stones Clean and Sober Housing,,Vetted,Stepping Stones Clean and Sober Housing,Whatcom County,(360) 671-5586,,Clean and sober housing for men and women. ,Stepping Stones Clean and Sober Housing,,Stepping Stones Clean and Sober Housing Office,1,2022-11-3 4:50pm,recyhAE5JOgqlTM8q
Sumas Community Clothesline,,Vetted,Sumas Community Clothesline,Whatcom County,(360) 988-2503,https://www.facebook.com/sumas.clothesline,A free clothing bank for residents of Sumas and surrounding communities.,Sumas Community Clothesline,,Sumas Advent Christian Church,4,2022-12-15 11:58am,recbAnK21bukZsNYg
Sumas Senior Center,,Vetted,"Sumas Senior Center,Sumas Senior Center re-vet",Whatcom County,,https://www.whatcomcounty.us/3985/58637/Sumas-Senior-Center?activeLiveTab=widgets,"A warm and friendly place for seniors and other members of the community to gather for food, fun and community events each week. *NOTICE* The Sumas Community Center is currently closed due to flood damage. Seniors are welcome at the Everson center for meals and activities. ",Sumas Senior Center,,Sumas Community Center,3,2022-11-4 10:28am,rec8JnAWqi1nXBVGQ
Sun Community Service,,Vetted,Sun Community Service,Whatcom County,(360) 392-1324,https://suncommunityservice.org/index.html,"Post-crisis emergency housing and permanent supported housing for people with serious, chronic behavioral health issues.",Sun House,,Sun Community Service,5,2022-11-16 4:58pm,recTFLHKCrQ4PwPe5
Sunrise Services,,Vetted,"Sunrise Services,Sunrise re-vet",Whatcom County,(360) 746-7200,https://sunriseservicesinc.com,"Services for those who are elderly, have developmental disabilities, have mental challenges, have physical challenges, who need help to manage employment and money, and those who need help to stay in their own homes. ","Sunrise Services Adult Family Homes ,Sunrise Behavioral Health Services,Geriatric Transition Program,Sunrise Home Care Services,Sunrise Recovery Services,Health Home Support Services",,"Sunrise Community Behavioral Health,Sunrise Health Homes and GTP Services",5,2022-9-26 2:04pm,recm6zYMVyi49kaT4
Sustainable Connections,,Vetted,"Freedge Food Pantry,Sustainable Connections re-vet",Whatcom County,(360) 647-7093,https://sustainableconnections.org,"Creating thriving communities through innovative ideas, collaboration, and action.",Freedge Food Pantry,info@sustainableconnections.org,Sustainable Connections,5,2022-10-6 12:20pm,recNzyDe9YKrRjD5k
The Arc of Whatcom County,,Vetted,"The Arc,The Arc re-vet",Whatcom County,(360) 715-0170,http://arcwhatcom.org/wp/about-the-arc/dan-godwin-community-center/,"Works to improve the quality of life, increase the independence and assure the full inclusion in the community of all persons with developmental disabilities. The Arc acts as an information resource, linking persons with developmental disabilities and their families with available resources in the community.

","Parent Coalition,Parent to Parent Support Programs,Self-Advocacy Program,Down Syndrome Outreach Program,Medicaid Personal Care Parent Training,The Arc Legislative Advocacy",,Dan Godwin Community Center,5,2022-5-19 2:11pm,recxtqtIzidt5ZyIj
The RE Store,,Vetted,"RE Sources,RE Store re-vet",Whatcom County,(360) 647-5921,http://www.re-sources.org/,A non-profit program with a retail location in Bellingham intended to divert reusable materials from the landfill and to build a culture of reuse in our community. ,"RE Store,Community Jobs Training Program - RE Store",bham@re-store.org,RE Store,5,2022-11-3 4:28pm,recaoekBUHQ3oblKl
The Whatcom Dream,,Vetted,"The Whatcom Dream,Whatcom Dream re-vet",Whatcom County,(360) 306-8324,http://thewhatcomdream.org/,A non-profit organization that provides free financial empowerment courses and community education. ,"Financial Empowerment Courses,Gotcha Covered ,The Christmas Shoppe",info@thewhatcomdream.org,The Whatcom Dream,5,2022-10-14 11:28am,recK9D3nLQtWqdwvd
TouchStone Counseling,,Vetted,"TouchStone,TouchStone re-vet",Whatcom County,(360) 788-4228,https://touchstonecounselinggroup.com,"Counseling services for individuals, couples, veterans, families, children and teens.","Family Counseling  - TouchStone,Couples Counseling - TouchStone,Child and Adolescent Counseling - TouchStone,Individual Counseling - TouchStone",,"TouchStone Counseling Ferndale Office,TouchStone Counseling Main Office (Blaine)",5,2022-10-26 9:16am,recMoGjChH8PSBSYc
United Way of Whatcom County,,Vetted,United Way,Whatcom County,(360) 733-8670,https://www.unitedwaywhatcom.org,Empowers local social service nonprofit organizations to assist and protect the county's most in need and at risk.,Dolly Parton's Imagination Library,,United Way of Whatcom County,5,2022-12-20 12:01pm,recnLlHpuFTnoZVWP
Unity Care NW,,Vetted,"Unity Care NW,UCNW re-vet",Whatcom County,(360) 676-6177,https://unitycarenw.org,"A local, non-profit health care provider that is part of a national network of community health centers. Aims to improve access to health care for everyone, regardless of insurance status or ability to pay.

","Unity Care NW Primary and Preventative Health Care,Unity Care NW Children's Medical Care,Unity Care NW Adult Dental Care,Unity Care NW Children's Dental Care,Unity Care NW Behavioral Health,Unity Care NW Outreach and Enrollment Specialists",,"Unity Care NW Bellingham Medical and Children's Dental Services,""Unity Care NW Bellingham Adult Dental, Behavioral Health, Donations, and Administration"",Unity Care NW Bellingham Pharmacy,Unity Care NW Ferndale",5,2022-3-31 4:31pm,rec7Szg02iQIzB3eC
Village Circle Group Peer Support,,Vetted,"Village Circle Group Peer Support,Village Circle re-vet",Whatcom County,,www.villagecirclebellingham.com/,Group Peer Support services including virtual and in-person support group meetings for any birthing person and/or anyone identifying as a mother. ,Village Circle Group Peer Support Services,thevillagecirclebellingham@gmail.com,,4,2023-3-30 12:08pm,recB2M8bWgPAkv0R6
We Care of Whatcom County,,Vetted,"We Care,We Care re-vet",Whatcom County,(360) 647-5415,https://www.facebook.com/wecareofwhatcomcounty,"Provides used clothing, furniture, and household items priced as low as possible. On your first visit, purchase your reusable bag for $5-$10 each.  Once you own a bag, fill up with clothing each visit for a very low cost.",We Care,,We Care of Whatcom County,3,2022-10-12 1:13pm,recZz4vsfXI9YZLr3
Welcome Senior Activity Center,,Vetted,Welcome Senior Activity Center,Whatcom County,(360) 592-5403,https://www.whatcomcounty.us/3917/56471/Welcome-Senior-Activity-Center?activeLiveTab=widgets,Senior programming has been on hold since 2020 due to COVID-19. Offers a variety of activities and programs to meet the diverse interests of the local senior population. Activities include:,Welcome Senior Activity Center,,Welcome Senior Community Center,4,2022-11-18 12:06pm,recsAfDfQshZ7ozix
Western Washington University Counseling Training Clinic,,Vetted,WWU Counseling Services,Whatcom County,(360) 650-3184,https://chss.wwu.edu/psychology/counseling-training-clinic,"Individual counseling for adults, adolescents, children, and is provided by graduate students in training, closely supervised by faculty of the Psychology Department.",WWU Counseling Training Clinic,,Western Washington University Counseling Training Clinic,4,2022-11-16 4:27pm,rec407XfzxJCJOllr
Whatcom Asset Building Coalition (WABC),,Vetted,WABC,Whatcom County,(360) 734-5121,https://www.whatcomabc.org,A community collaboration supporting financial self-sufficiency through education and advocacy. Home to an online community resource center containing information and resources on managing your money and improving your quality of life.,"WABC Resource Library,WABC Money Management Resources,WABC Quality of Life Resources",admin@whatcomabc.org,,5,2022-12-8 6:19pm,recQpigg5fagR7eXX
Whatcom Center for Early Learning,WCEL,Vetted,"WCEL,WCEL re-vet",Whatcom County,(360) 671-3660,http://www.wcel.net/,"Providing comprehensive, family centered early intervention services for children ages birth to three with special needs.","Early Support for Infants and Toddlers - WCEL,Toddler Time,Sensational Toddlers,WCEL Friends Playgroup,WCEL Playgroups and Classes",info@wcel.net,"WCEL Big Blue House,WCEL Little Brick House,WCEL Cordata",5,2022-5-19 3:01pm,recg7jDTC0tu0v8wl
Whatcom Community College,WCC,Vetted,Whatcom Community College,Whatcom County,(360) 383-3000,http://www.whatcom.ctc.edu,"Offers transfer degrees, professional-technical training programs, as well as basic education, job skills, and Community & Continuing Education classes. ",Whatcom Community College,,Whatcom Community College,5,2022-11-17 5:08pm,recP9zgE2U1h27yNI
Whatcom County Alcoholics Anonymous (AA),AA,Vetted,AA,Whatcom County,"(360) 318-5764 (Español),(360) 734-1688",http://www.whatcomaa.org/,"Alcoholics Anonymous is a fellowship of people who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism.","Alcoholics Anonymous Hotline,Whatcom/Skagit AA Meeting Schedule",,,5,2022-12-7 6:04pm,rec9xw5yCbW0WZNN7
Whatcom County Health and Community Services,Whatcom County Health Department,Vetted,"Whatcom County Health Department,WC Health and Community Services re-vet",Whatcom County,(360) 778-6000,http://www.co.whatcom.wa.us/health/,Health Department for Whatcom County.,"Nurse-Family Partnership,Whatcom County Veterans Program,Prevention Coalitions,Syringe Services Program,Alternative Response Team (ART),Ground-Level Response and Coordinated Engagement (GRACE),Law Enforcement Assisted Diversion (LEAD)",,"Whatcom County Health Department ,Whatcom County Health Department - State Street",5,2022-5-25 9:51am,recJZYNG2DZYzZEuX
