,name,alternate_name,x-status,x-verification,Service Area,phones,url,description,services,email,locations,x-website rating,x-status_last_modified,id
55,Law Advocates  ,,Vetted,"['recm9UCp0dicgc4PC', 'recims9B4bE72R9sz']",Whatcom County,['recVlf6wYg6cgiUMa'],http://www.lawadvocates.org/,Provides free civil legal assistance to low-income Whatcom County residents by linking them with attorney and community volunteers.,"['recGnyJWi0B8lVhp1', 'recKOnPmzqYkEkanK', 'recHsqUIU8kF8GxiZ', 'recLmmKNt1EblyJJu', 'recmYaBJOOBOzZRVy', 'rec1rwRnvD67ZMjFo', 'recTrtLNw1BCL0xkE', 'reckaHmYgK6QAQI9G', 'recf4rV7OS0b2T8tO']",,['recqh0YTBwxVwCq8Y'],4.0,2022-10-05T21:36:22.000Z,recK72whAqFEUeYjZ
56,The Whatcom Dream,,Vetted,"['recleIpQLRGrseVbR', 'recNFX1atQiTOnKQ3']",Whatcom County,['recemwPxvP3ULLIxJ'],http://thewhatcomdream.org/,A non-profit organization that provides free financial empowerment courses and community education. ,"['recglzzka7A4nRq7D', 'rechhr9EEH6gnSP0Z', 'recmNyzdCU7wGzo0R']",info@thewhatcomdream.org,['rec3VKuTjG0lqfXLi'],5.0,2022-10-14T16:28:35.000Z,recK9D3nLQtWqdwvd
57,Miracle Food Network,,Vetted,"['rectA4PmCYfosLQFM', 'rec2YEVz2OlogdC0s']",Whatcom County,['recvVjZYLR1qHz7IC'],www.miraclefoodnetwork.org/,Community-based food distributor with locations throughout Whatcom County. Food pick-up days/times vary by location. Schedule and phone numbers for each location are listed online.,['recFfP3EuTg9N52N6'],admin@miraclefoodnetwork.org,,3.0,2022-11-03T19:58:05.000Z,recKWHoz0vQ5kTc9v
58,Our Treehouse,,Vetted,"['rec5x7LJpTrgbyrUY', 'recvWAJz1G4l5EYtw']",Whatcom County,['recUN26l1PVvBv2p6'],https://www.our-treehouse.org,"Serves as a loving, healing community for children, youth, and families to grieve. Through peer support groups, provision of school-based support, and referrals to other community resources.","['recjxWlalQZBNbw9q', 'recOUv2gRNgDYZM7K', 'rec8oadXJizEQtCdl']",info@our-treehouse.org,['rec9VWU5vr7KuvKcs'],5.0,2022-09-27T20:10:22.000Z,recKdyh3wlpyZ2Jr9
59,University of Washington (UW),UW,Vetted,['recfwQ1XBDjdBw0S5'],Washington State,['recW4EkLaIFKxj2kP'],http://www.washington.edu/,"A multi-campus university in Seattle, Tacoma and Bothell, as well as a world-class academic medical center.",['rects6CzyxbtjAuql'],help@uw.edu,,5.0,2022-12-01T23:00:13.000Z,recLEEtTCt8F6jJ8E
60,Victim Support Services,,Vetted,['rec1uymGIwHkDJrlc'],Washington State,['recKVFLtg5izmpEEV'],victimsupportservices.org/,"Criminal justice system advocacy, resources, referrals, educational and support groups for victims of crime and their families. Services are free of charge.  Serve victims of Adult Missing Persons,  Arson, Assault, Burglary, Elder Abuse, Fraud, Gang Violence, Hate Crimes, Homicide, Human Trafficking, Identity Theft, Robbery, Vehicular Assault, and Vehicular Homicide.",['recAikzQ8F0vLsiSW'],,,4.0,2022-12-06T22:05:39.000Z,recLnz3vpQRSvVYD6
61,Compass Health,,Vetted,"['recHlx4z57m4OJqgX', 'recscxNF51EZFphcw']",Whatcom County,['rec4dpNyIsHdkmN2x'],https://www.compasshealth.org/,"Behavioral healthcare center that serves people of all ages, and offers comprehensive mental health treatment, crisis prevention and intervention, supportive housing, children’s services, community education and more.","['recbSyuJIZPXXj3LG', 'rec6JAvIRZ78HD6wH', 'recoks2DPAZqnzamd', 'recuEUt0LKOCb2kKj', 'recWwpIxZLcxhF0hF', 'recGDnJS0IQqrOOZE', 'recRGkL2Tk75Xctzk', 'recYMh6nGwlpPBqTd', 'recSvxz2qZ4ys7duB', 'reclhp0B1XGtvd49x']",,"['rec04kgGs9yOJLzjE', 'recFDl1ZJaOoCcpia', 'recEnChy0eithG2Y3']",5.0,2022-09-29T19:16:12.000Z,recLvJRjWVPeg54aY
62,Hope and Thrive Counseling ,,Vetted,['recyr6kDmfaBYq0qC'],Whatcom County,['rec6xYJNReKbHheC4'],https://www.hopethrivecounseling.com ,"Hope and Thrive Counseling Center provides a variety of therapy services to individuals, couples, and families.","['receVHGS8vwDhEtuB', 'recXD50WVmBOaNUM9', 'recP2hL7T0TCMAwho', 'recjGdZbS5cdCDB1b', 'rect7hgXqQyPfLxsf', 'recdThWAdsiyPtBzS', 'recf490ZdWxSK6wic', 'recpgYloufUzlacJS']",info_admin@hopethrivecounseling.com,"['recc7yGjTlBBdvSbJ', 'recXAmttvx5C7E6be']",4.0,2022-11-16T22:20:53.000Z,recLzaxMm8HQiGLbx
63,Associates in Mental Health,,Vetted,['recAKQN2AyVAgbDRh'],Whatcom County,['recIhMROtBGOVu7Nv'],http://amhinfo.com/,"Mental health counseling provider consists of independently practicing Licensed Psychologists, Licensed Mental Health Counselors, Licensed Marriage and Family Therapists, and Licensed Clinical Social Workers.",['receVK0vHoI05MRoi'],,['recy2ctfIuf6jEPGJ'],5.0,2022-11-16T22:33:10.000Z,recMBu2hoj22fE3UR
64,Animals as Natural Therapy,,Vetted,"['recwRl62Tt4UUUSvI', 'recu5m9VgvgqLqZCv']",Whatcom County,['recXtMR0j5Flf8tJD'],www.animalsasnaturaltherapy.org/,Improving mental and behavioral health through animal-guided programs and mentorship with special attention to youth and veterans in Northwest Washington.,"['recuWHh3h7GjtOnLq', 'recBCZUFrFv9MElRj', 'recYuS8CVZ4jsqB09', 'recjxslFzWRoifCzp']",program@animalsasnaturaltherapy.org,['rec0AijwXSpAI8QdR'],5.0,2022-09-27T23:18:35.000Z,recMCsRhqPFdfHAN6
65,TouchStone Counseling,,Vetted,"['reczV0eDNjgqoTLoT', 'recEm2Cr91AvcuOn0']",Whatcom County,['receSI9w1I1UfuCNE'],https://touchstonecounselinggroup.com,"Counseling services for individuals, couples, veterans, families, children and teens.","['recO6J7G9X1kUxBIv', 'recqnEg5892ovOtEH', 'recC0V0P3eFSNQkwt', 'recvMwj5r4HykqW7R']",,"['recBBD79Ex49Bu76r', 'recdjSdENU2iC7XWt']",5.0,2022-10-26T14:16:51.000Z,recMoGjChH8PSBSYc
66,Brigid Collins Family Support Center,,Vetted,"['reckPNW6CUGl4lSaz', 'recF3nPMINBO80rwm']",Whatcom County,['rec46zlnKNFgMpGcw'],http://www.brigidcollins.org/,"A commitment-based organization dedicated to protecting children, building strong families, and ending child abuse. ","['recXaKLWiTXY9i9bR', 'recLLpX2HqEED560t', 'receXwai69cHVXGyE', 'recu3qVZyhdNmT6tM', 'recwOl4K9IJENIgC3']",,['recY6cpceKXDt4ltB'],5.0,2022-05-09T22:28:42.000Z,recNArHkSejatB7aA
67,Cascade Connections,,Vetted,"['recA9CVn4nFvoQ8GL', 'recqDgZcl6hAgk3Mz']",Whatcom County,['recJNe2oUOhnUySKB'],https://cascadeconnections.org,"A non-profit agency serving people with disabilities through specially designed programs, including supported living, group training home, home care, training, and vocational services.","['recyQcfKLqKzgDxrY', 'recY8KpJeebd3F4DU', 'rec0VfmmKVJWEfOuu', 'recXRVVmtMPeeoAuT', 'recmKzXfGw3G0UM0r']",,"['recmveeIDaafJafU9', 'recqlNP4ANIpGslcJ']",5.0,2022-09-21T23:27:53.000Z,recNQqK2iCz3elhMz
68,Trans Lifeline,,Vetted,"['recwpCpFcIgXRAWIW', 'recJLqQco7jU4RoiS']",National,['recALvBaBC9v6o7ne'],www.translifeline.org,"A trans-led organization that connects trans people to the community, support, and resources they need to survive and thrive.",['recW3lKNSzuKmvaIR'],,,4.0,2022-11-10T00:15:31.000Z,recNSKw7owJ9J7ebs
69,Sean Humphrey House,,Vetted,"['rec4F03bh03KaSaRr', 'recR5HmRz4LD60q4y']",Whatcom County,['recFI2Bmb64hVqRW5'], http://www.seanhumphreyhouse.org,Provides care and community in a family-home setting for adults living with HIV.,['recHX2KPXce4pZdT0'],,['rece83wxsL4EH1WZ8'],5.0,2022-11-03T23:16:21.000Z,recNdrqhtmgnp5iEA
70,Hope House,,Vetted,['recQRQrGuaf8UjZfo'],Whatcom County,['recKtRQsE3r3W0L9M'],https://www.assumption.org/hope-house.html,"Basic Needs provided free of charge to those in need in our community. Resources include clothing, household goods, toiletries, cleaning supplies, diapers, emergency food, and more. 
",['recSEAf5eXiUedCQX'],,['recOlypQcw46VESpP'],4.0,2022-03-23T17:50:01.000Z,recNkEG5A343eE2Ub
71,Dawson Place Child Advocacy Center,,Vetted,"['rec84JVbxCKz55Lp0', 'recNAFojOfIpLrmCN']",National,['recvBmeNFLz4Wigjk'],dawsonplace.org,"A safe place where abused kids and non-offending family members can cone for safety, justice, and healing. ","['recwFwym3b71vp2cI', 'recAImOevwhIkFQtv', 'reciqDwnIbf1uzphb', 'recMZYCS2i02IkXJ3', 'rec1DaNxNjmjmZPlf', 'recLsuD0Pl2utX80L']",,,4.0,2022-09-27T20:45:37.000Z,recNttEZSUUd9guCS
72,Sustainable Connections,,Vetted,"['rec8bLfwIDegcTNmb', 'rec08kN4XGdgGdLvq']",Whatcom County,['recKtxdNgWrtGj3MO'],https://sustainableconnections.org,"Creating thriving communities through innovative ideas, collaboration, and action.",['recF8Pl64aO5wWv2P'],info@sustainableconnections.org,['recUdyuG8k5mE42cb'],5.0,2022-10-06T17:20:00.000Z,recNzyDe9YKrRjD5k
73,Child Care Aware of Washington,,Vetted,"['rec2TI5JmIIawcgeJ', 'rec4zvzhpM07HkBdD']",Washington State,['recpCKT7Ax33MWzyr'],https://childcareawarewa.org/families/,A nonprofit organization dedicated to ensuring that every child in Washington has access to high-quality child care and early learning programs by providing statewide child care resource and referral. ,"['recOhNhbvbKVudR5i', 'recYYWbeNyfXiqtGH', 'rec7T8g46CEkYgTVN']",familycenter@childcare.org,,5.0,2022-09-20T15:12:12.000Z,recO9Gbrdy0IJ9NSv
74,Interfaith Coalition,,Vetted,"['recaB8OYyxQiKmue7', 'recDEMxwbYI9n7Zry']",Whatcom County,['recb3kvmNachsEcy8'],https://www.interfaith-coalition.org/,A community of many faiths working together to eliminate homelessness and poverty in Whatcom County.,"['recZnAljmeIWNbWeW', 'recNJjab2G1bYhuM8', 'recKjjgP7yLZAgJZd']",,['rec3rJdfvGYBuWwbG'],5.0,2022-03-31T22:21:26.000Z,recO9fMLaJnIfTDPk
75,Goodwill Job Training and Education Center ,,Vetted,"['reccnMYytDMpO86Jy', 'recvLXegscodCh4mq']",Whatcom County,['recdu1LnJyNLySXZy'],https://evergreengoodwill.org/job-training-and-education/training-center-locations/whatcom-county-job-training-and-education-center,"Goodwill offers job training and education programs to people in the community, as well as help finding a job, all completely free.","['recaXJjDgkRtKoY85', 'recPGDphNdJeAkbIO', 'recHRMRLi1UrtcBsF', 'reciiMLzT0pX2WRNB', 'reczsmsghfxriD5Ok']",,['recZPPzW3MjEDiffW'],5.0,2022-10-18T19:53:47.000Z,recONm2m2podj7yyc
76,Bellingham Senior Activity Center,,Vetted,"['recdDks0dvqpd4dzT', 'recblonWoqnf0yuKb']",Whatcom County,['recF1BXkP9SiThRgp'],https://whatcomcoa.org/bellingham-senior-activity-center/,"A 1,600+ member senior center in Bellingham. Whether you’re interested in art, health & wellness, computer skills, current events, dancing or socializing with friends, you’ll find a wealth of fun-filled activities to educate, stimulate and entertain you at the Center. Membership is open to anyone age 50and over.","['rec1ZUTzXclbLKMAY', 'recYShpfSwPaVCI5L']",,['recbsDIIJH6B7PUTt'],5.0,2022-10-20T21:05:04.000Z,recOTKr5ctbTisCBM
77,Skookum Kids,,Vetted,"['recNAPsOVkFirKE0o', 'recuIyvNUXKnptbN9']",Whatcom County,['recRTz5QJeHhYW3jK'],http://www.skookumkids.org,Provides support for foster kids and families in Whatcom County.,"['rec5IM7EvIKPSEYro', 'recR6FCdndK985fH5', 'recoATm3yi3pL96Sg']",,['recaj289Rn37fB5QR'],4.0,2022-11-03T23:28:15.000Z,recOyRvNLXGQxJtx3
78,Whatcom Community College,WCC,Vetted,['recYxLoTH7TkNbgBz'],Whatcom County,['recPhdk5zfsk7LEfW'],http://www.whatcom.ctc.edu,"Offers transfer degrees, professional-technical training programs, as well as basic education, job skills, and Community & Continuing Education classes. ",['rec4Hav1ybPJmPAL8'],,['reclVqXe4Qgm6wTBi'],5.0,2022-11-17T23:08:14.000Z,recP9zgE2U1h27yNI
79,Internet Essentials from Comcast,,Vetted,['reclX1AmMO8454Hrw'],National,['rec2sF5sCb5rBlHz1'],https://internetessentials.com,"Provides affordable home Internet for qualifying households as well as low-cost computers, free WiFi hotspots, and free Internet training. Sign up for Internet Essentials for only $9.95/month with no annual contract and free equipment, then enroll in the Affordable Connectivity Program (ACP) to get your service for free.",['recr08sOJh0aokBbx'],,,5.0,2022-12-13T22:59:44.000Z,recPX8q6B7HmPidQ2
80,Share the Love ,,Vetted,['rechZraGi1woAfU1h'],National,,http://www.cottonbabieslove.com,"A national cloth diaper bank that works to achieve one goal:
eliminate diaper need and poverty in our local communities.",['recKP8ZZlZ1Q9YTTP'],sharethelove@cottonbabies.com,,5.0,2022-12-08T23:07:20.000Z,recPxqZBnT88wP4pt
81,Disability Rights Washington  ,,Vetted,['rec6pErEOOy2Fqy2Q'],Washington State,"['recmZj5h2dUDcZUts', 'recygEzUQ4e2mMEU9']",http://www.disabilityrightswa.org/,A private non-profit organization that protects the rights of people with disabilities statewide. ,"['recvFBMTtvHrCBds7', 'recu9DQLa9zGbF7No', 'recWJBB8S5DCH2IbF', 'rectcKBthqMFvZymV', 'reczbAIi84bbzE0oD', 'rec85UimyZTs0beov', 'recM2n8g2uPAD05wn', 'reciwMRCKVeWKQjJG']",,['rec3jVzurzSnQ3sVB'],5.0,2022-12-02T00:15:26.000Z,recQmsrbLeS5skjVf
82,Domestic Violence and Sexual Assault Services (DVSAS),DVSAS,Vetted,['reczCCBH0ZgoNIYxY'],Whatcom County,['recJg6odpoyG43r8S'],http://www.dvsas.org/,"Supports individuals affected by domestic violence, sexual assault, and sexual exploitation, and provides community education. All services are free and confidential.","['recEEHKYscbyHcbjm', 'recNAsukvZMA15FOt', 'recviKjo3KIOjA3U8', 'rec5OWmtVL503DMpr', 'recTDe3rfT71Y5va4', 'recx8WAuti0AKQoYj', 'rec5wpZ9hzSIXFJqX']",,['recx5keTJ0MHcGylH'],5.0,2022-08-24T15:42:18.000Z,recQoHGS6iV9TYdV2
83,Whatcom Asset Building Coalition (WABC),,Vetted,['recHkxlJgu512eNQd'],Whatcom County,['recg9idlfA4DvvzAW'],https://www.whatcomabc.org,A community collaboration supporting financial self-sufficiency through education and advocacy. Home to an online community resource center containing information and resources on managing your money and improving your quality of life.,"['recXtGgUklkbSsbFd', 'recXUzLBTab9pVLdw', 'recylZ9YesG3BjLyS']",admin@whatcomabc.org,,5.0,2022-12-09T00:19:14.000Z,recQpigg5fagR7eXX
84,We R Native,,Vetted,['recE8B7FeX9zvHvp5'],National,"['recVxDeYT9FwGVeVm', 'recDUOjl197NAoGDl']",https://www.wernative.org/,"A comprehensive health resource for Native youth, by Native youth, providing content and stories, striving to promote holistic health and positive growth in our local communities and nation at large.","['rec44lF9rgxOGluq4', 'recprLzHpKmbK8rz6', 'recXHEDycdABowIVp', 'recSKINbHlnfb1eG2', 'rec90wNql6KhOKzdV', 'recFOjPfKMdKatUlT']",native@npaihb.org,,4.0,2022-11-16T22:40:29.000Z,recRq127hyxc4MiBJ
85,AES Inc.,An Employment Solution Inc. ,Vetted,"['recIcenm9eTZuwVnH', 'recZX7lEmLiKHL65G']",Whatcom County,['reccqo7uH5D9dvXFn'],https://anemploymentsource.com,"Help finding temporary or long term work. Skill assessment and job-matching tools lead to job opportunities that match applicants' abilities and interests, and higher degrees of success and job satisfaction.",['reclFQASYIva0KKZP'],,['rec2aj33rysnpPqr7'],5.0,2022-10-20T21:52:45.000Z,recSJmvFKHD18l8SJ
86,Ideal Option,,Vetted,['recc0VhehUbaHfOAk'],Whatcom County,['rec9wVAJKu8QEQ4Ey'],https://www.idealoption.com/bellingham,"Outpatient addiction medicine clinic providing evidence-based treatment for addiction to opioids and stimulants, as well as medication-assisted treatment for alcohol withdrawal and relapse prevention.  

",['receWiovba3EWvosy'],,['recvQpsFaMqtr0UB0'],5.0,2022-12-08T18:35:51.000Z,recSU9MREjuEryTHZ
87,Washington Poison Center,,Vetted,['recVGdnLu5ZIJHSxP'],Washington State,['recjVYfwYZPcgCenh'],http://www.wapc.org/,"Provides immediate, free, and expert treatment advice and assistance on the telephone in case of exposure to poisonous, hazardous, or toxic substances. All calls are confidential.

",['recCikbFFw58JuTAL'],,['rec4pyBriogw0eKgj'],5.0,2022-12-07T17:07:47.000Z,recSVX6PiM1NIFu8g
88,Second WakeUp House and Redemption Place,,Vetted,"['recLn2t6suR3YX06m', 'rec99S6CNX5HYAXuh']",Whatcom County,['recBJfCXGRzvaXoq8'],https://secondwakeup.com,Faith-based clean and sober housing for men.,"['recojaS5nWZN8thww', 'recb9U2CTlCtIOv8N']",,['recLjUue7wgTm8mYF'],5.0,2022-11-03T22:42:37.000Z,recSYJzKxewMpDmps
89,Northwest Behavioral ,,Vetted,"['recFwSNf012w73IZA', 'recYO6Ze7mHHgnvos']",Whatcom County,['recC7VFJUfnU4NnzW'],http://www.nwbehavioral.org/,"Provides counseling services for individuals, couples, and families. Case management services available for qualified Group Health clients in their homes or care facilities. ",['rec3lMevIXq3ysGRV'],nbehavorial@hotmail.com,['reco2ulosFBroSDND'],4.0,2022-10-26T14:08:52.000Z,recSdrrVKZNG2zU3e
90,Kulshan Community Land Trust ,,Vetted,"['rec0roQqSlmGqzw2o', 'recenZw9QCSMbXqb0']",Whatcom County,['receX0K8cYxNZOddF'],www.kulshanclt.org/,Works to create healthy communities through permanently affordable homeownership. Also offers home buyer financial and education classes.,"['recpFt1wmm111VxYH', 'rectzkDOdSKEvw0EZ', 'rec7uEDo7PybxEVHX']",info@kulshanclt.org,['recI1mhzqszIjgYQr'],5.0,2022-10-11T18:34:43.000Z,recSgUXNwUf1utVSO
91,Washington State Department of Commerce,,Vetted,['reczRjicmy5GtLNs0'],Washington State,['recpa3XmWZZ4iFfk7'],https://www.commerce.wa.gov,"State government agency focused on all aspects of community and economic development including planning, infrastructure, energy, public facilities, housing, public safety and crime victims, international trade, business services and more. ",['recJyHN0B1iQf0PyA'],,,5.0,2022-12-06T20:33:50.000Z,recT3q0mRwlJEAMJk
92,Sun Community Service,,Vetted,['recdqkzCVdLYyc4Aj'],Whatcom County,['rec2cQt3LkQcBWm6C'],https://suncommunityservice.org/index.html,"Post-crisis emergency housing and permanent supported housing for people with serious, chronic behavioral health issues.",['rec02nHqo1dX4YdzF'],,['recZfrG94M4imnl1R'],5.0,2022-11-16T22:58:49.000Z,recTFLHKCrQ4PwPe5
93,Northwest Youth Services ,NWYS,Vetted,"['rec90Nokt43NqgUWJ', 'recpMZz6WiIjtmQwV']",Whatcom County,['recNadSssloh2tYsx'],www.nwys.org,"Radical innovative services and care models that go beyond physical well-being to build social capital in partnership with young people, 13 to 24-year-olds experiencing homelessness or unstable housing.","['recWZJjSqUEKf3zFr', 'recVoClMgdf2US5Yt', 'recdWNDvilunbcXaQ', 'recXgB3JrnT0hGQvs', 'recWwEmTeQG6WDk83', 'recONCffXWKmIfA0g', 'recKZdCvpLSDI9D9E', 'recmQASUXL3lAEbFo']",hello@nwys.org,"['recV2o7nWREWHZB2a', 'recBpLtr4y4QbxoJN', 'recuPstyQkLSIBI23']",5.0,2022-09-20T20:49:00.000Z,recTVb0eSkBjzN2Gk
94,Ferndale Senior Center,,Vetted,"['recxcFYO68OcXT1is', 'recOScbeZoQFVWkMW']",Whatcom County,['recvMjAVazg25AR8K'],https://www.ferndaleseniorcenter.org,"Provides affordable educational, nutritional, social and recreational programs for Ferndale senior citizens. ","['recfOyaLJWrpGpudr', 'recxLBMESrlZIu0hp']",,['recJcAlObNf5sPoQg'],4.0,2022-10-26T18:56:06.000Z,recTdsHqYxC5B9MWb
95,Manpower Staffing Solutions,,Vetted,['recH7FSd98dgASAKF'],Whatcom County,['recvjj758jW4iV4kU'],https://www.manpowergroupusa.com/manpower/locations/bellingham,"Whether you're seeking staffing services as an employer or searching for a position, the Manpower Bellingham office can pair you with the tools and network you need.",['recD82JVXIMI5X6G4'],,['reco88nSPjs8vU7XP'],4.0,2022-12-08T21:19:09.000Z,recTuDZRPjF87PcLu
96,Washington State Department of Health,DOH,Vetted,['recLAC766qDhgdreb'],Washington State,['recszKPnoBhiZMODA'],https://doh.wa.gov,Statewide health department working to protect and improve the health of all people in Washington state.,['rec8DBIqcf0GAkk6C'],,,5.0,2023-02-27T16:27:55.000Z,recUL3ZWWPe9Aa2gn
97,Opportunity Council,,Vetted,"['recOcSLv4mjYPzEKn', 'rec3EWPNqe9cBIQdZ']",Whatcom County,['recg9idlfA4DvvzAW'],https://www.oppco.org,"A private, non-profit Community Action Agency serving homeless and low-income families and individuals. Helps people improve their lives through education, support, and direct assistance while advocating for just and equitable communities.","['recTy3L6aObx1NRcH', 'recIThNIankICC2Oa', 'recuMsqTBGi7wU8Hz', 'recAZ2BkQktrRhxNZ', 'recjZ7UYj1JuLOJyr', 'recreZE5ZVZKNhFYl', 'recca6n3nMKZAvFMt', 'reck2H5d8LkyIWmiT', 'recerbCimUhaGY8QQ', 'recQxRwSvWvkXtVdi', 'recr69IDkbt5e6Q5V', 'recuu4MmCSpQrLNIT', 'recSp82tNyCTHA1Je', 'recVjWvrB51MsNFXP', 'recQJHJJbub6ESs53', 'recLIg3cQKtJadOkM', 'recLZF33TOADI5tvy', 'recsxlaX4BKdL2Qig', 'recPTlFdQ6fj2ZyPe', 'recTY23n81gieSDrf', 'rec3puwmJjq0gDGKQ', 'recNvyfhGyMFZj6x9', 'recbeDcnYyeRXDvdY', 'recOV8r9VoRNtt5q5', 'recG6L4ota3cauEXd', 'rec0q0y5OZY55lhKA', 'recFyIncsxvNMloYJ', 'recqiAvBnpSJQs1OW', 'recUcPyJrqmHUaAwG', 'recHvUVkLCdxGwiCp', 'recvEuwdPujXE3y11', 'receiilFq21FvoxRc', 'recpQeLk7q4zqONrI', 'reclRoGZugnAu81eT', 'recVdvzc8cMzulgPk', 'recJKQpXLMF7627X1']",,"['recaHTvpft3y3CWcQ', 'recRCQgkivtyv9B9Y']",5.0,2022-03-30T18:40:53.000Z,recUNg0RwRbIooYd7
98,Ferndale School District,,Vetted,['recFLkuKsa9x8uhq9'],Whatcom County,,https://www.ferndalesd.org,"Public school district for Ferndale, WA.","['recFvVWOJWbuxKgyT', 'recmReKPAvgIajBLF', 'recr4o5qa4SdX6BW6', 'recmICYkT4ILOc3PU', 'rec67rsBs29EgZuZL']",,,4.0,2022-03-23T17:05:19.000Z,recVLAFl8FDBrUiR3
99,Project Hope Lynden ,,Vetted,"['reccJ7WxsfWrFvLIp', 'rec1C7SR8Xq0s9uOP']",Whatcom County,['recjMojH2fvRiu1tX'],https://www.projecthopelynden.org,"A food bank and Community Assistance Program that helps Lynden community members with short-term, emergency assistance.

","['recqj4p8ejsA400ay', 'recsuC1HGYymf3woW', 'recmLUAgvlWfVOsBH']",,['recZwysvZPhubn5Z7'],5.0,2022-04-25T22:42:28.000Z,recVuVblhFDcJhkOb
